2026-08-11 12:22:09,829 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:09] "GET /js/api.js HTTP/1.1" 200 -
2026-08-11 12:22:10,585 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:10] "[36mGET /components/header.html HTTP/1.1[0m" 304 -
2026-08-11 12:22:10,591 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:10] "[36mGET /components/footer.html HTTP/1.1[0m" 304 -
2026-08-11 12:22:10,600 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:10] "[33mGET /api/v1/courses?per_page=2 HTTP/1.1[0m" 404 -
2026-08-11 12:22:10,809 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:10] "[33mGET /d2l/api/lp/1.0/enrollments/myenrollments/?orgUnitTypeId=3 HTTP/1.1[0m" 404 -
2026-08-11 12:22:10,950 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:10] "[33mGET /login/token.php HTTP/1.1[0m" 404 -
2026-08-11 12:22:10,952 | INFO     | sqlalchemy.engine.Engine | BEGIN (implicit)
2026-08-11 12:22:10,955 | INFO     | sqlalchemy.engine.Engine | SELECT 1
2026-08-11 12:22:10,956 | INFO     | sqlalchemy.engine.Engine | [generated in 0.00166s] ()
2026-08-11 12:22:10,958 | INFO     | sqlalchemy.engine.Engine | COMMIT
2026-08-11 12:22:10,980 | INFO     | sqlalchemy.engine.Engine | BEGIN (implicit)
2026-08-11 12:22:10,992 | INFO     | sqlalchemy.engine.Engine | SELECT devices.id AS devices_id, devices.order_number AS devices_order_number, devices.serial_number AS devices_serial_number, devices.ethaddr_id AS devices_ethaddr_id, devices.eth1addr_id AS devices_eth1addr_id, devices.used AS devices_used, devices.test_result AS devices_test_result, devices.operator AS devices_operator, devices.timestamp AS devices_timestamp, devices.created_at AS devices_created_at, devices.updated_at AS devices_updated_at, devices.post_test_changes AS devices_post_test_changes 
FROM devices
2026-08-11 12:22:10,993 | INFO     | sqlalchemy.engine.Engine | [generated in 0.00087s] ()
2026-08-11 12:22:10,999 | INFO     | sqlalchemy.engine.Engine | COMMIT
2026-08-11 12:22:11,000 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:11] "GET /api/status HTTP/1.1" 200 -
2026-08-11 12:22:13,462 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:13] "GET /testing.html HTTP/1.1" 200 -
2026-08-11 12:22:13,503 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:13] "[36mGET /css/main.css HTTP/1.1[0m" 304 -
2026-08-11 12:22:13,512 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:13] "[36mGET /css/layout.css HTTP/1.1[0m" 304 -
2026-08-11 12:22:13,516 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:13] "[36mGET /css/components.css HTTP/1.1[0m" 304 -
2026-08-11 12:22:13,523 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:13] "[36mGET /css/testing.css HTTP/1.1[0m" 304 -
2026-08-11 12:22:13,530 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:13] "[36mGET /js/common.js HTTP/1.1[0m" 304 -
2026-08-11 12:22:13,534 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:13] "[36mGET /js/api.js HTTP/1.1[0m" 304 -
2026-08-11 12:22:13,535 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:13] "GET /js/vendor/qrcode.js HTTP/1.1" 200 -
2026-08-11 12:22:13,541 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:13] "GET /js/testing.js HTTP/1.1" 200 -
2026-08-11 12:22:13,830 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:13] "[36mGET /components/header.html HTTP/1.1[0m" 304 -
2026-08-11 12:22:13,847 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:13] "[36mGET /components/footer.html HTTP/1.1[0m" 304 -
2026-08-11 12:22:15,943 | INFO     | sqlalchemy.engine.Engine | BEGIN (implicit)
2026-08-11 12:22:15,944 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:15] "GET /js/vendor/qrcode.js HTTP/1.1" 200 -
2026-08-11 12:22:15,944 | INFO     | sqlalchemy.engine.Engine | SELECT 1
2026-08-11 12:22:15,945 | INFO     | sqlalchemy.engine.Engine | [cached since 4.991s ago] ()
2026-08-11 12:22:15,946 | INFO     | sqlalchemy.engine.Engine | COMMIT
2026-08-11 12:22:15,947 | INFO     | sqlalchemy.engine.Engine | BEGIN (implicit)
2026-08-11 12:22:15,947 | INFO     | sqlalchemy.engine.Engine | SELECT devices.id AS devices_id, devices.order_number AS devices_order_number, devices.serial_number AS devices_serial_number, devices.ethaddr_id AS devices_ethaddr_id, devices.eth1addr_id AS devices_eth1addr_id, devices.used AS devices_used, devices.test_result AS devices_test_result, devices.operator AS devices_operator, devices.timestamp AS devices_timestamp, devices.created_at AS devices_created_at, devices.updated_at AS devices_updated_at, devices.post_test_changes AS devices_post_test_changes 
FROM devices
2026-08-11 12:22:15,947 | INFO     | sqlalchemy.engine.Engine | [cached since 4.955s ago] ()
2026-08-11 12:22:15,947 | INFO     | sqlalchemy.engine.Engine | COMMIT
2026-08-11 12:22:15,948 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:15] "GET /api/status HTTP/1.1" 200 -
2026-08-11 12:22:15,977 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:15] "[36mGET /components/command_panel.html HTTP/1.1[0m" 304 -
2026-08-11 12:22:15,980 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:15] "[36mGET /components/qr_panel.html HTTP/1.1[0m" 304 -
2026-08-11 12:22:15,981 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:15] "[36mGET /components/navigation.html HTTP/1.1[0m" 304 -
2026-08-11 12:22:15,985 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:15] "[36mGET /components/order_operator_panel.html HTTP/1.1[0m" 304 -
2026-08-11 12:22:15,990 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:15] "[36mGET /components/macPanel.html HTTP/1.1[0m" 304 -
2026-08-11 12:22:15,994 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:15] "[36mGET /components/verificationPanel.html HTTP/1.1[0m" 304 -
2026-08-11 12:22:15,996 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:15] "[36mGET /components/serialPanel.html HTTP/1.1[0m" 304 -
2026-08-11 12:22:25,755 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:25] "POST /api/session/start HTTP/1.1" 200 -
2026-08-11 12:22:25,771 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:25] "GET /qr/step1.png HTTP/1.1" 200 -
2026-08-11 12:22:28,634 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:28] "POST /api/workflow/next HTTP/1.1" 200 -
2026-08-11 12:22:28,640 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:28] "GET /qr/step2.png HTTP/1.1" 200 -
2026-08-11 12:22:29,358 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:29] "POST /api/workflow/next HTTP/1.1" 200 -
2026-08-11 12:22:29,365 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:29] "GET /qr/step3.png HTTP/1.1" 200 -
2026-08-11 12:22:30,887 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:30] "POST /api/workflow/next HTTP/1.1" 200 -
2026-08-11 12:22:30,893 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:30] "GET /qr/step4.png HTTP/1.1" 200 -
2026-08-11 12:22:32,187 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:32] "POST /api/workflow/next HTTP/1.1" 200 -
2026-08-11 12:22:38,778 | INFO     | werkzeug        | 127.0.0.1 - - [11/Aug/2026 12:22:38] "PUT /api/workflow/mac HTTP/1.1" 200 -
