id,order_number,serial_number,mac_address,used,test_result,timestamp,operator,created_at,updated_at,post_testing_changes
, , ,00:13:C6:13:40:17,False,False,, ,,, 
, , ,00:13:C6:13:40:18,False,False,, ,,, 
, , ,00:13:C6:13:40:19,False,False,, ,,, 
, , ,00:13:C6:13:40:1A,False,False,, ,,, 
, , ,00:13:C6:13:40:1B,False,False,, ,,, 
, , ,00:13:C6:13:40:1C,False,False,, ,,, 
, , ,00:13:C6:13:40:1D,False,False,, ,,, 
, , ,00:13:C6:13:40:1E,False,False,, ,,, 
, , ,00:13:C6:13:40:1F,False,False,, ,,, 
, , ,00:13:C6:13:40:20,False,False,, ,,, 
, , ,00:13:C6:13:40:21,False,False,, ,,, 
, , ,00:13:C6:13:40:22,False,False,, ,,, 
, , ,00:13:C6:13:40:23,False,False,, ,,, 
, , ,00:13:C6:13:40:24,False,False,, ,,, 
, , ,00:13:C6:13:40:25,False,False,, ,,, 
, , ,00:13:C6:13:40:26,False,False,, ,,, 
, , ,00:13:C6:13:40:27,False,False,, ,,, 
, , ,00:13:C6:13:40:28,False,False,, ,,, 
, , ,00:13:C6:13:40:29,False,False,, ,,, 
, , ,00:13:C6:13:40:2A,False,False,, ,,, 
, , ,00:13:C6:13:40:2B,False,False,, ,,, 
, , ,00:13:C6:13:40:2C,False,False,, ,,, 
, , ,00:13:C6:13:40:2D,False,False,, ,,, 
, , ,00:13:C6:13:40:2E,False,False,, ,,, 
, , ,00:13:C6:13:40:2F,False,False,, ,,, 
, , ,00:13:C6:13:40:30,False,False,, ,,, 
, , ,00:13:C6:13:40:31,False,False,, ,,, 
, , ,00:13:C6:13:40:32,False,False,, ,,, 
, , ,00:13:C6:13:40:33,False,False,, ,,, 
, , ,00:13:C6:13:40:34,False,False,, ,,, 
, , ,00:13:C6:13:40:35,False,False,, ,,, 
, , ,00:13:C6:13:40:36,False,False,, ,,, 
, , ,00:13:C6:13:40:37,False,False,, ,,, 
, , ,00:13:C6:13:40:38,False,False,, ,,, 
, , ,00:13:C6:13:40:39,False,False,, ,,, 
, , ,00:13:C6:13:40:3A,False,False,, ,,, 
, , ,00:13:C6:13:40:3B,False,False,, ,,, 
, , ,00:13:C6:13:40:3C,False,False,, ,,, 
, , ,00:13:C6:13:40:3D,False,False,, ,,, 
, , ,00:13:C6:13:40:3E,False,False,, ,,, 
, , ,00:13:C6:13:40:3F,False,False,, ,,, 
, , ,00:13:C6:13:40:40,False,False,, ,,, 
, , ,00:13:C6:13:40:41,False,False,, ,,, 
, , ,00:13:C6:13:40:42,False,False,, ,,, 
, , ,00:13:C6:13:40:43,False,False,, ,,, 
, , ,00:13:C6:13:40:44,False,False,, ,,, 
, , ,00:13:C6:13:40:45,False,False,, ,,, 
, , ,00:13:C6:13:40:46,False,False,, ,,, 
, , ,00:13:C6:13:40:47,False,False,, ,,, 
, , ,00:13:C6:13:40:48,False,False,, ,,, 
, , ,00:13:C6:13:40:49,False,False,, ,,, 
, , ,00:13:C6:13:40:4A,False,False,, ,,, 
